# version: Permenkes 2/2020
# lastUpdated: 2026-03-16
# source: Permenkes No. 2 Tahun 2020
sex,referenceType,referenceValue,L,M,S
P,height,74,-0.27,9.1,0.093146
P,height,74.5,-0.283,9.2,0.092132
P,height,75,-0.296,9.3,0.091139
P,height,75.5,-0.27,9.4,0.090169
P,height,76,-0.284,9.5,0.089219
P,height,76.5,-0.15,9.6,0.094092
P,height,77,-0.486,9.6,0.09281
P,height,77.5,-0.392,9.7,0.091899
P,height,78,-0.495,9.8,0.090921
P,height,78.5,-0.55,9.9,0.089985
P,height,79,-0.514,10,0.089104
P,height,79.5,-0.398,10.1,0.088275
P,height,80,-0.514,10.2,0.087365
P,height,80.5,-0.53,10.3,0.086515
P,height,81,-0.704,10.4,0.085622
P,height,81.5,-0.274,10.6,0.089431
P,height,82,-0.286,10.7,0.088594
P,height,82.5,-0.433,10.8,0.087774
P,height,83,-0.543,10.9,0.086971
P,height,83.5,-0.401,11,0.090175
P,height,84,-0.499,11.1,0.089332
P,height,84.5,-0.191,11.3,0.088799
P,height,85,-0.277,11.4,0.091967
P,height,85.5,-0.471,11.5,0.086245
P,height,86,-0.53,11.6,0.085485
P,height,86.5,-0.282,11.8,0.088843
P,height,87,-0.378,11.9,0.088099
P,height,87.5,-0.369,12,0.091038
P,height,88,-0.454,12.1,0.090265
P,height,88.5,-0.294,12.3,0.089787
P,height,89,-0.337,12.4,0.088118
P,height,89.5,-0.469,12.5,0.087379
P,height,90,-0.567,12.6,0.086663
P,height,90.5,-0.263,12.8,0.089745
P,height,91,-0.389,12.9,0.089059
P,height,91.5,-0.442,13,0.091746
P,height,92,-0.452,13.1,0.091044
P,height,92.5,-0.308,13.3,0.090597
P,height,93,-0.428,13.4,0.089013
P,height,93.5,-0.471,13.5,0.088346
P,height,94,-0.557,13.6,0.087681
P,height,94.5,-0.349,13.8,0.090529
P,height,95,-0.425,13.9,0.089885
P,height,95.5,-0.333,14,0.092388
P,height,96,-0.403,14.1,0.091722
P,height,96.5,-0.344,14.3,0.087352
P,height,97,-0.405,14.4,0.089811
P,height,97.5,-0.415,14.5,0.089191
P,height,98,-0.238,14.7,0.091807
P,height,98.5,-0.336,14.8,0.091199
P,height,99,-0.437,14.9,0.089731
P,height,99.5,-0.341,15.1,0.08938
P,height,100,-0.394,15.2,0.091695
P,height,100.5,-0.378,15.4,0.090506
P,height,101,-0.448,15.5,0.089914
P,height,101.5,-0.281,15.7,0.092363
P,height,102,-0.435,15.8,0.090975
P,height,102.5,-0.371,16,0.09064
P,height,103,-0.415,16.1,0.092809
